Spanish,English
que,that
de,of
no,do not
a,to
la,the
el,the
es,it is
y,Y
en,in
lo,it
un,a
por,by
qué,that
me,I
una,a
te,tea
los,the
se,I know
con,with
para,to
mi,me
está,is
si,Yes
bien,good
pero,but
yo,me
eso,that
las,the
sí,Yes
su,its
tu,you
aquí,here
del,of the
al,to the
como,What
le,you
más,more
esto,this
ya,already
todo,everything
esta,is
vamos,go
muy,very
hay,there is
ahora,now
algo,something
estoy,am
tengo,have
nos,us
tú,your
nada,any
cuando,when
ha,he has
este,East
sé,he
estás,are
así,So
puedo,may l
cómo,What
quiero,I want
sólo,single
soy,am
tiene,has
gracias,Thank you
o,or
él,he
bueno,good
fue,It was
ser,to be
hacer,do
son,are
todos,everybody
era,it was
eres,are
vez,time
tienes,you have
creo,believe
ella,she
he,I
ese,that
voy,go
puede,may
sabes,you know
hola,Hello
sus,their
porque,why
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,home
favor,favor
esa,that
dos,two
tan,so
señor,Mr
tiempo,weather
verdad,truth
estaba,I was
mejor,best
están,is it so
va,he
hombre,men
usted,you
mucho,much
hace,does
entonces,then
siento,I feel
tenemos,have
puedes,you can
ahí,there
ti,you
vida,life
ver,watch
alguien,somebody
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,about
decir,tell
uno,one
siempre,forever
oh,oh
ir,go
cosas,stuff
también,too
antes,before
has,you
ni,neither
mis,my
día,day
estar,be
estamos,we're
noche,night
nadie,nobody
otra,other
quiere,wants
parece,It seems
nosotros,U.S
poco,little bit
padre,dad
trabajo,job
gente,people
mira,look
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,He said
pasa,happens
dinero,money
hijo,child
tal,such
otro,other
hablar,talk
seguro,sure
claro,Sure
estas,are
lugar,place
mundo,world
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,from
fuera,outside
cosa,thing
tipo,type
mañana,morning
podemos,we can
dije,I said
gran,big
necesito,needed
estado,condition
podría,might
acuerdo,agreement
papá,dad
tener,have
dice,He says
mío,Own
crees,think
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
haciendo,doing
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,should
tenía,I had
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
luego,soon
todas,all
allí,there
toda,all
hora,time
mujer,woman
visto,viewed
haces,you do
importa,matters
contigo,with you
ve,go
tarde,afternoon
oye,Hey
parte,part
haber,to have
hombres,mens
problema,trouble
mas,more
saber,to know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,every
hizo,made
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,maybe
debo,I must
alguna,some
cierto,TRUE
ud,You
muerto,dead
unos,some
estos,these
salir,leave
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,He passed
buenas,good
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
suerte,lucky
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,then
pasado,last
pensé,I thought
todavía,yet
hermano,brother
debes,you must
casi,almost
forma,shape
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,car
camino,way
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,goodbye
primero,first
debería,it should
poder,can
niños,kids
sería,would
historia,history
hey,hey
mientras,while
ciudad,city
dijiste,said
espero,I hope
cuánto,how much
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,we must
deja,let
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,pass
vale,OK
cuál,which one
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,go ahead
niño,kid
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,go on
grande,big
arriba,up
jefe,boss
habla,speaks
supongo,I suppose
manera,way
quieren,they want
feliz,happy
significa,it means
sangre,blood
fin,end
bajo,under
llama,calls
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,any
corazón,heart
diablos,Devils
necesitamos,need
atrás,behind
durante,during
dices,say
nuestros,our
persona,person
abajo,down
dr,dr
hija,daughter
dejar,let
necesita,needs to
llegar,to get
hago,do
señora,Ms
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,expensive
siquiera,at least
genial,brilliant
cree,cree
supuesto,supposed
tomar,drink
equipo,team
justo,just
juego,play
ninguna,none
matar,kill
cinco,five
dicen,say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,even if
pueda,can
dime,tell me
igual,same
comida,food
ay,Oh
cuerpo,body
encontrar,meet
fuerte,strong
vuelta,lap
venga,come on
creer,to believe
realidad,reality
saben,they know
puta,bitch
deberías,you should
pregunta,question
fui,I was
cuatro,four
sra,Ms
primer,first
trabajar,work
e,and
hagas,you do
alto,tall
maldita,damn
comer,to eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,to think
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,bad
estabas,you were
vivo,alive
haga,make
queda,is left over
hijos,sons
mayor,higher
fiesta,party
hacen,make
medio,half
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,quarter
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,they were
carajo,fuck
final,final
lista,list
trata,about
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,I could
bastante,pretty
seguridad,security
pasando,going
esperando,waiting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,fault
veras,you'll see
adónde,where to
buscando,searching
cuanto,how much
padres,parents
paz,peace
demonios,demons
estará,will be
cual,which
perdón,sorry
asi,So
jugar,play
pensando,thinking
esperar,wait
sabemos,we know
recuerdo,memory
par,pair
joven,young
seguir,continue
pueblo,town
tenga,have
caballeros,gentlemen
idiota,moron
dio,gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,our
plan,plan
pienso,I think
sentido,sense
dormir,sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,You understand
país,country
seis,six
último,latest
ésta,is
diga,tell
podrías,could you
pequeña,small
cállate,shut
trato,treatment
rey,King
sucede,happens
muchachos,boys
jamás,Never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,strange
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I will say
anoche,last night
perder,to lose
vámonos,Let's go
nave,ship
cielo,Darling
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,little girl
increíble,amazing
además,what's more
deben,should
libro,book
calle,Street
café,coffee
piensas,think
hacemos,we make
especial,special
queremos,we want
irme,leave
perfecto,perfect
buscar,search for
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,to call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,large
recuerdas,remember
real,real
estaban,were
mía,mine
frente,front
perdido,lost
llamo,I call
muertos,dead
millones,millions
asesino,assassin
sueño,sleep
quisiera,I'd like
habría,there would be
hará,will
viaje,trip
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,lament
muchacho,young guy
avión,plane
ropa,clothing
fuerza,force
llamado,called
oído,hearing
dado,given
encima,over
negro,black
usar,use
información,information
uds,You
preguntas,questions
tuvo,He had
secreto,secret
vuelve,returns
miren,look
quieras,want
haría,would do
acaba,just
otras,other
incluso,even
sientes,you feel
deberíamos,we should
haz,make
decirte,tell you
boca,mouth
dolor,pain
baño,bathroom
adentro,inside
profesor,Teacher
habitación,room
daño,damage
tuyo,of yours
seas,be
noticias,news
demás,the rest
querido,Dear
duro,Lasted
poner,set
prueba,proof
mire,Look
tonto,fool
campo,field
siendo,being
diez,ten
ése,that
tranquilo,quiet
asunto,matter
acabó,just
quédate,stay
derecho,straight
placer,pleasure
recuerda,remember
estuve,I was
tratando,trying
ejército,army
futuro,future
llevar,bring
compañía,company
venido,I come
listos,ready
haremos,will
sitio,site
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,error
blanco,White
raro,rare
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,movie
anda,anda
ello,it
negocio,deal
novia,bride
permiso,Excuse me
creí,thought
suena,sounds
ocurre,occurs
oficial,official
espere,Wait
aire,air
mató,he killed
regresar,to get back
vio,saw
hazlo,do it
trasero,rear
grupo,group
entendido,understood
señorita,Miss
música,music
perra,female dog
conoce,known
empezar,begin
siente,feels
acabo,finished
estúpido,stupid
diferente,different
traje,costume
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,pain
largo,length
entra,enters
piso,floor
foto,Photo
dijeron,they said
médico,doctor
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,ship
ganar,to win
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
tras,after
decirle,tell
lindo,cute
funciona,it works
programa,Program
vine,came
abre,opens
sean,are
pagar,to pay
fotos,photos
centro,center
supone,supposed
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,personal
maestro,teacher
hambre,hungry
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,to get
trabajando,working
gracioso,funny
dejó,let
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,answer
tipos,types
sentir,feel
tenías,had
pude,could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,ten
temo,fear
señal,sign
pelo,hair
llevo,I wear
ayer,Yesterday
das,you give
nena,Chick
servicio,service
tren,train
bonito,beautiful
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,calls
tengas,you have
corre,runs
baja,short
sol,Sun
siéntate,Sit down
dan,give
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,danger
mesa,desk
siguiente,following
hablo,I speak
disculpa,sorry
decirme,tell me
caja,cash register
negocios,business
misión,mission
silencio,silence
sale,comes out
llegado,arrived
estaría,It would
regreso,he came back
media,half
estan,are
propio,own self
oro,gold
enseguida,right away
linda,beautiful
prometo,I promise
esposo,husband
norte,North
hubo,was
juro,I swear
muerta,dead
interesante,interesting
pensaba,thought
busca,seeks
terminar,end up
tendré,I will have
completamente,completely
cita,date
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,why
llave,wrench
santo,holy
hermoso,handsome
necesario,necessary
edificio,building
irnos,leave
aun,yet
tendremos,we will have
vayas,go
doy,give
trae,brings
salió,he left
ley,law
ahi,there
verdadero,TRUE
pelea,Fight
banco,Bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I'll give
gobierno,government
comprar,to buy
creen,believe
sargento,sergeant
destino,destiny
existe,exists
hacía,toward
novio,groom
sala,living room
través,through
regalo,gift
iglesia,church
decía,He said
cualquiera,any
excelente,Excellent
esperen,expect
deseo,desire
alma,soul
diablo,Devil
deje,leave
cuántos,many
espada,sword
estábamos,we were
carne,meat
maravilloso,marvelous
vidas,lifes
sucedió,it happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,Liberty
jesús,Jesus
ocurrió,occurred
veré,I will see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,thought
luna,Moon
salvar,save
carta,letter
estés,re
cielos,Heavens
teniente,lieutenant
encuentra,finds
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,candy
pruebas,tests
querías,wanted
abuelo,Grandpa
totalmente,totally
mirando,looking
vayan,go
carrera,career